,role,company_name,work_experience,location,skills,post_date,link
316,Lead Economist,IBM,5-8 Yrs,"New Delhi, Gurgaon/Gurugram","['Data analysis', 'Technical management', 'MIS', 'Genetics', 'Open source', 'International trade', 'Financial analysis', 'Taxation']",1 Day Ago,https://www.naukri.com/job-listings-lead-economist-ibm-india-pvt-limited-new-delhi-gurgaon-gurugram-5-to-8-years-250124906094
317,Academic Writer,Iwrite,1-2 Yrs,"Kochi, Kerala, Bengaluru, Karnataka, Thiruvananthapuram, Kerala","['Research Writing', 'Research Analysis', 'Data Analysis', 'Technical Writing', 'Scientific Writing', 'English Writing', 'Technical Documentation', 'Editing']",1 Day Ago,https://www.naukri.com/job-listings-academic-writer-iwrite-kochi-kerala-bengaluru-karnataka-thiruvananthapuram-kerala-1-to-2-years-250124006064
318,Senior Client Manager,Williams Lea India,14-20 Yrs,"Chennai, Tamil Nadu","['Presentation', 'PowerPoint Presentation', 'Powerpoint', 'Power point presentation', 'Client management', 'Senior', 'Client', 'Management']",1 Day Ago,https://www.naukri.com/job-listings-senior-client-manager-williams-lea-india-chennai-tamil-nadu-14-to-20-years-250124005928
319,"Associate, Analyst For Record To Report",TOP US MNC,0-5 Yrs,Bengaluru,"['Record To Report', 'Fixed Assets', 'RTR', 'R2R', 'Month End Reporting', 'Reconciliation', 'General Ledger', 'Journal Entries']",1 Day Ago,https://www.naukri.com/job-listings-associate-analyst-for-record-to-report-placewell-bengaluru-0-to-5-years-250124005837
320,Retail Store Manager,MALABAR GOLD & DIAMONDS,0-5 Yrs,"Kannur, Kerala, Palakkad, Kerala, Kozhikode, Kerala","['Communication Skills', 'Management Skills', 'Interpersonal Skills', 'Management', 'Store management', 'Stores', 'Retail outlets', 'Interpersonal']",1 Day Ago,https://www.naukri.com/job-listings-retail-store-manager-malabar-gold-diamonds-kannur-kerala-palakkad-kerala-kozhikode-kerala-0-to-5-years-190124005335
321,Management Trainee / Assistant showroom head,MALABAR GOLD & DIAMONDS,0-5 Yrs,"Kannur, Kerala, Palakkad, Kerala, Kozhikode, Kerala","['Communication Skills', 'Presentation Skills', 'Strong Interpersonal Skills', 'Management Skills', 'Leadership Skills', 'Interpersonal', 'Training management', 'Training']",1 Day Ago,https://www.naukri.com/job-listings-management-trainee-assistant-showroom-head-malabar-gold-diamonds-kannur-kerala-palakkad-kerala-kozhikode-kerala-0-to-5-years-220124003417
322,Mis Executive,Watch Your Health,1-4 Yrs,Mumbai (All Areas),"['Advanced Excel', 'Excel', 'MIS']",1 Day Ago,https://www.naukri.com/job-listings-mis-executive-watch-your-health-mumbai-all-areas-1-to-4-years-250124005801
323,Finance And Accounts Trainee (Freshers),V-Align Technologies,0-2 Yrs,"Bengaluru, Karnataka(Yeshwanthpur)","['Tally', 'Excel', 'Tally ERP', 'Zoho', 'Accounting', 'Finance', 'Training', 'ERP']",1 Day Ago,https://www.naukri.com/job-listings-finance-and-accounts-trainee-freshers-zcientia-labs-bengaluru-karnataka-0-to-2-years-250124005783
324,Openings For Tableau Developer For Diamond Industry - Mumbai (BKC),Leading in Diamond Industry,3-8 Yrs,"Mumbai Suburban, Maharashtra, Thane, Maharashtra, Mumbai (All Areas)(Bandra Kurla Complex)","['Tableau Developer', 'Data Visualization', 'Automation', 'Data Population', 'SQL Queries', 'Mobile Dashboards', 'Dashboard', 'Insight Extraction']",1 Day Ago,https://www.naukri.com/job-listings-openings-for-tableau-developer-for-diamond-industry-mumbai-bkc-aspire-consultancy-services-mumbai-suburban-maharashtra-thane-maharashtra-mumbai-all-areas-3-to-8-years-170124009867
325,Student Care Executive,Chandigarh University,1-5 Yrs,Chandigarh,"['chat process', 'back office', 'customer service', 'presentation skills', 'pivot table', 'vlookup', 'excel', 'email writing']",1 Day Ago,https://www.naukri.com/job-listings-student-care-executive-chandigarh-university-chandigarh-1-to-5-years-250124005755
326,AI/ML Engineer,Saieesh Data Systems,2-4 Yrs,"Mumbai, Maharashtra","['Data Science', 'Artificial Intelligence', 'Aiml', 'Machine Learning', 'data Scientist', 'Natural Language Processing', 'chatbots', 'LLM']",1 Day Ago,https://www.naukri.com/job-listings-ai-ml-engineer-saieesh-data-systems-mumbai-maharashtra-2-to-4-years-250124005487
327,SR. Support Analyst - Delphix/DATA Masking,Leading Investment Bank,3-8 Yrs,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)","['TDM', 'Data Masking', 'Delphix', 'Test Data Management', 'Informatica', 'Ibm Optim', 'Management', 'Data']",1 Day Ago,https://www.naukri.com/job-listings-sr-support-analyst-delphix-data-masking-headsnminds-consultants-chennai-bengaluru-mumbai-all-areas-3-to-8-years-250124005481
328,Data Scientist,Saieesh Data Systems,9-14 Yrs,Hybrid - Mumbai (All Areas),"['Machine Learning', 'Data Science', 'Statistical Modeling', 'Programming', 'Data Cleansing', 'Data Visualization', 'Modeling', 'Science']",1 Day Ago,https://www.naukri.com/job-listings-data-scientist-saieesh-data-systems-mumbai-all-areas-9-to-14-years-250124004607
329,HR MIS Executive,Orra Fine Jewellery,2-3 Yrs,Mumbai (All Areas),"['MIS', 'Pivot Table', 'HR MIS', 'VLOOKUP', 'Advanced Ms Excel', 'HLOOKUP', 'Pivot', 'Microsoft']",1 Day Ago,https://www.naukri.com/job-listings-hr-mis-executive-orra-fine-jewellery-mumbai-all-areas-2-to-3-years-250124005371
330,Production Head - Fertilizers @ Kakinada,Fertilizer Company,22-27 Yrs,"Kakinada, Andhra Pradesh","['ammonia production', 'Production Operations', 'Production Management', 'fertilizer production', 'urea production', 'Production Operation', 'Production', 'Management']",1 Day Ago,https://www.naukri.com/job-listings-production-head-fertilizers-kakinada-ideal-placement-and-consultants-p-ltd-kakinada-andhra-pradesh-22-to-27-years-121223007894
331,Mis Executive,Indus Towers,1-5 Yrs,"Mohali, Punjab, Shimla, Himachal Pradesh, Jammu, Jammu & Kashmir","['Excel', 'Pivot Table', 'VLOOKUP', 'Data Management And Analysis', 'MS Office', 'HLOOKUP', 'Pivot', 'Management']",1 Day Ago,https://www.naukri.com/job-listings-mis-executive-indus-towers-mohali-punjab-shimla-himachal-pradesh-jammu-jammu-kashmir-1-to-5-years-250124005225
332,Area Sales Executive- GOA,Exide,2-7 Yrs,"South Goa, Goa, North Goa, Goa","['Distribution Handling', 'Channel Sales', 'Brand Building', 'Product Awareness', 'Network Development', 'Data Analysis', 'Sales Executive Activities', 'Data']",1 Day Ago,https://www.naukri.com/job-listings-area-sales-executive-goa-exide-south-goa-goa-north-goa-goa-2-to-7-years-180124005450
333,Territory Sales incharge (FMCG),Sandesh Distributor,4-8 Yrs,"Hybrid - Vapi, Gujarat, Surat, Gujarat, Vadodara, Gujarat","['Team Management', 'Target Achievement', 'Territory Sales', 'Sales And Marketing', 'Area Sales', 'Training', 'Management', 'Target']",1 Day Ago,https://www.naukri.com/job-listings-territory-sales-incharge-fmcg-sandesh-distributor-pvt-ltd-vapi-gujarat-surat-gujarat-vadodara-gujarat-4-to-8-years-250124005184
334,Lead Data Scientist,RapiPay Fintech Pvt. Ltd.,3-5 Yrs,"Noida, Uttar Pradesh(Sector-68 Noida), Noida Sector 68","['AWS', 'Python', 'Decision Tree', 'Natural Language Processing', 'Hypothesis Testing', 'Knn', 'Regression Modeling', 'Ml Algorithms']",1 Day Ago,https://www.naukri.com/job-listings-lead-data-scientist-rapipay-fintech-pvt-ltd-noida-uttar-pradesh-noida-sector-68-3-to-5-years-271223003407
335,Aws Data Engineer,Aliqan Services,10-16 Yrs,"Hyderabad, Telangana, Chennai, Tamil Nadu, Bengaluru, Karnataka","['Aws Cloud', 'Shell Scripting', 'cicd', 'Python', 'SQL', 'Orchestration', 'Airflow', 'Architecture']",1 Day Ago,https://www.naukri.com/job-listings-aws-data-engineer-aliqan-services-hyderabad-telangana-chennai-tamil-nadu-bengaluru-karnataka-10-to-16-years-250124005169
336,MLops Engineer,Mondee Tech,4-9 Yrs,"Hyderabad, Bengaluru","['MLops', 'Azure', 'Ci/Cd', 'AWS', 'Kubernetes', 'Kubeflow', 'Airflow', 'Docker']",1 Day Ago,https://www.naukri.com/job-listings-mlops-engineer-mondee-tech-hyderabad-bengaluru-4-to-9-years-250124005119
337,Media Planner,MMTV Limited,3-8 Yrs,Kochi,"['Media Planning', 'Advertising Agency', 'Media Strategy', 'Planning', 'Media', 'Agency', 'Advertising']",1 Day Ago,https://www.naukri.com/job-listings-media-planner-mmtv-limited-kochi-3-to-8-years-281223004888
338,R&D Process Engineer ( Chemical / Composites / Pultrusion Exp must),Adonis Recruitment Consultants,5-10 Yrs,"Oragadam, Tamil Nadu, Sriperumbudur, Tamil Nadu, Chennai, Tamil Nadu","['Chemical', 'PULTRUSION', 'OPTIMIZING INDUSTRIAL PROCESS', 'fiber-reinforced polymer', 'FRP', 'Polymer', 'Data Analyst', 'COMPOSITES']",1 Day Ago,https://www.naukri.com/job-listings-r-d-process-engineer-chemical-composites-pultrusion-exp-must-adonis-recruitment-consultants-oragadam-tamil-nadu-sriperumbudur-tamil-nadu-chennai-tamil-nadu-5-to-10-years-250124004891
339,Senior Business Analyst,Fristine Infotech,5-7 Yrs,"Pune, Maharashtra","['Senior Business Analyst', 'Business Analyst', 'Business Analytics', 'SAAS', 'Zoho Projects', 'Functional Solution Document', 'Business Analysis', 'Zoho People']",1 Day Ago,https://www.naukri.com/job-listings-senior-business-analyst-fristine-infotech-pune-maharashtra-5-to-7-years-250124904857
340,Immediate Openings For MIS  - Chennai !!!,Global Healthcare Billing Partners,2-7 Yrs,"Chennai, Tamil Nadu","['Power Bi', 'MIS Operations', 'MIS Generation', 'Advanced Excel', 'Macros', 'MIS Development', 'Mis Analysis', 'MIS Reporting']",1 Day Ago,https://www.naukri.com/job-listings-immediate-openings-for-mis-chennai-global-healthcare-billing-partners-chennai-tamil-nadu-2-to-7-years-250124004860
341,Software Engineer,Netapp,4-7 Yrs,Bangalore/Bengaluru,"['C++', 'Unix', 'Data analysis', 'Software design', 'Linux', 'Coding', 'Debugging', 'System programming']",1 Day Ago,https://www.naukri.com/job-listings-software-engineer-netapp-india-private-limited-bangalore-bengaluru-4-to-7-years-250124904808
342,Hr Analytics,Data Patterns,2-4 Yrs,Chennai(Injambakkam +2),"['MIS Preparation', 'MIS Reporting', 'Macros', 'Excel Report Preparation', 'MIS Development', 'MIS Operations', 'Conditional Formatting', 'Advanced Excel']",1 Day Ago,https://www.naukri.com/job-listings-hr-analytics-data-patterns-chennai-2-to-4-years-301123012698
343,R&D Process Data Engineer / Data Analyst ( Global ENGG MNC @ Oragadam),Call Prabhu @ 70108 63499 / A Global Technology driven Renewable Energy MNC & Client of ADONIS ,3-8 Yrs,"Hybrid - Oragadam, Tamil Nadu, Sriperumbudur, Tamil Nadu, Chennai, Tamil Nadu","['DATA ANALYSIS', 'Mathematics', 'Data Analyst', 'Statistics', 'Process Data Engineer', 'DATA SCIENCE', 'PULTRUSION PROCESS', 'PULTRUSION']",1 Day Ago,https://www.naukri.com/job-listings-r-d-process-data-engineer-data-analyst-global-engg-mnc-oragadam-adonis-recruitment-consultants-oragadam-tamil-nadu-sriperumbudur-tamil-nadu-chennai-tamil-nadu-3-to-8-years-250124004666
344,Assistant Manager-Digital Marketing,Puma,2-4 Yrs,Bengaluru,"['Digital Campaigns', 'Ecommerce Marketing', 'Paid Marketing', 'ROI', 'Performance Marketing', 'Assistance', 'Digital', 'Campaigns']",1 Day Ago,https://www.naukri.com/job-listings-assistant-manager-digital-marketing-puma-sports-india-pvt-ltd-bengaluru-2-to-4-years-250124004641
345,Customer Care Executive,Leading Client,1-5 Yrs,"Thane, Navi Mumbai, Maharashtra","['BPO', 'Banking Process', 'Loan Collection', 'Good Communication In English', 'Insurance', 'document review', 'risk assessment', 'Need banking']",1 Day Ago,https://www.naukri.com/job-listings-customer-care-executive-paradise-recruitment-consultant-thane-navi-mumbai-maharashtra-1-to-5-years-170124909845
346,"Product Manager, Senior Product Manager - International eCommerce",Nextplay Retail,1-6 Yrs,Hybrid - Chennai,"['Data Analysis', 'category management', 'inventory management', 'Market Research', 'product management', 'Quantity Analysis', 'analytical', 'quantitative']",1 Day Ago,https://www.naukri.com/job-listings-product-manager-senior-product-manager-international-ecommerce-nextplay-retail-chennai-1-to-6-years-290422006365
347,Urgent Hiring For Excel expert Female For Jaipur Sitapura Industrial,AFT Recruiters,2-6 Yrs,Jaipur,"['Google Sheets', 'Advanced Excel', 'MS Office', 'MIS Reporting', 'Communication Skills', 'google platform', 'Process Management', 'Coordination Skills']",1 Day Ago,https://www.naukri.com/job-listings-urgent-hiring-for-excel-expert-female-for-jaipur-sitapura-industrial-aft-jaipur-2-to-6-years-250124004568
348,Associate - Finance (Commercial),Del Monte Foods,2-5 Yrs,"New Delhi, Gurgaon/Gurugram","['Finance management', 'SAP', 'Sales', 'MIS', 'Claims Tracker', 'Tracking', 'Commercial', 'Management']",1 Day Ago,https://www.naukri.com/job-listings-associate-finance-commercial-del-monte-foods-private-limited-new-delhi-gurgaon-gurugram-2-to-5-years-250124904522
349,Business Analyst,Top B2B MNC in BPO Domain,3-8 Yrs,"Pune, Maharashtra","['Power Bi', 'SQL Queries', 'Advanced Excel', 'Tableau', 'Dashboards', 'Data Validation', 'Data Management', 'Conditional Formatting']",1 Day Ago,https://www.naukri.com/job-listings-business-analyst-manning-consulting-pune-maharashtra-3-to-8-years-250124004516
350,Data Scientist,Mega Hr Consultant,2-7 Yrs,Mumbai (All Areas),['Personalized Search and Recommendations'],1 Day Ago,https://www.naukri.com/job-listings-data-scientist-mega-hr-consultant-mumbai-all-areas-2-to-7-years-250124004499
351,Data Modeller,Zettamine Labs,8-12 Yrs,"Hyderabad, Telangana, Bangalore Rural, Karnataka, Chennai","['Power Bi', 'Alteryx', 'Data Modeling', 'Data Architecture', 'Data Governance', 'Data Analysis', 'ERwin', 'Bi']",1 Day Ago,https://www.naukri.com/job-listings-data-modeller-zettamine-labs-hyderabad-telangana-bangalore-rural-karnataka-chennai-8-to-12-years-250124004414
352,Senior Business Analyst,Art Technology And Software,5-10 Yrs,"Kochi/ Cochin, Kerala","['UAT', 'JIRA', 'User Acceptance Testing', 'Cbap', 'Business Requirement Analysis', 'Confluence', 'Analysis', 'Business analysis']",1 Day Ago,https://www.naukri.com/job-listings-senior-business-analyst-art-technology-and-software-kochi-cochin-kerala-5-to-10-years-031123007827
353,DGM - Pharma Co. - Market Research /MIS/ SFE/ SEA - Mumbai.,Pharmaceutical job,15-20 Yrs,"Mumbai Suburban, Maharashtra, Mumbai (All Areas)","['Sfe', 'Data Analysis', 'Market Research', 'Sfa', 'MIS', 'Sales Force Automation', 'Data', 'Marketing']",1 Day Ago,https://www.naukri.com/job-listings-dgm-pharma-co-market-research-mis-sfe-sea-mumbai-hrd-house-mumbai-suburban-maharashtra-mumbai-all-areas-15-to-20-years-250124004336
354,Deputy Manager - Social Media Marketing,Kempegowda International Airport (BLR AIRPORT),10-14 Yrs,"Bengaluru, Karnataka","['Google Analytics', 'Digital Marketing', 'SEM', 'Social Media Marketing', 'SEO', 'Orm Tool', 'content publishing', 'Google AdWords']",1 Day Ago,https://www.naukri.com/job-listings-deputy-manager-social-media-marketing-kempegowda-international-airport-blr-airport-bengaluru-karnataka-10-to-14-years-250124004291
355,Data Scientist - Phd only,Anurag Electronic Gujarat,0-2 Yrs,Mumbai,"['Natural Language Processing', 'Phd', 'Deep Learning', 'Data Science', 'Process', 'Processing', 'Data', 'Science']",1 Day Ago,https://www.naukri.com/job-listings-data-scientist-phd-only-anurag-electronic-gujarat-mumbai-0-to-2-years-010421006391
356,Pricing Analyst,Eaton Technologies,1-2 Yrs,Pune,"['sap', 'pricing analysis', 'data analysis', 'analytical', 'languages', 'spss', 'power bi', 'business analysis']",1 Day Ago,https://www.naukri.com/job-listings-pricing-analyst-eaton-corporation-pune-1-to-2-years-250124004177
357,Asst Manager /Sr. Executive - International Business (Medical Devices),Polymed,3-8 Yrs,New Delhi(Okhla),"['Work Order', 'Purchase Requisition', 'Back Office', 'International Business', 'International Sales', 'MIS executive', 'Backend', 'International Marketing']",1 Day Ago,https://www.naukri.com/job-listings-asst-manager-sr-executive-international-business-medical-devices-polymed-new-delhi-3-to-8-years-020422003904
358,College Principal,VYMAK Degree College,15-20 Yrs,Bengaluru(Whitefield),"['Critical Thinking', 'Management Skills', 'Leadership Skills', 'Decision Making', 'Planning Skills', 'Leadership', 'Planning', 'Critical care']",1 Day Ago,https://www.naukri.com/job-listings-college-principal-vymak-degree-college-bengaluru-15-to-20-years-250124004137
359,Oracle Apex Developer,Systechcorp Inc,2-3 Yrs,"Hybrid - Bangalore Rural, Karnataka","['Oracle APEX', 'PLSQL', 'SQL', 'Apex', 'Development', 'Oracle']",1 Day Ago,https://www.naukri.com/job-listings-oracle-apex-developer-systechcorp-inc-bangalore-rural-karnataka-2-to-3-years-250124004107
360,Senior Research Analyst,Our Esteem Client,3-8 Yrs,"Ahmedabad, Gujarat","['Ahmedabad', 'Equity Research', 'Research Analyst', 'Broking', 'Financial Research', 'Mutual Fund Research', 'Research Analysis', 'Equity Valuation']",1 Day Ago,https://www.naukri.com/job-listings-senior-research-analyst-sai-management-consultancy-ahmedabad-gujarat-3-to-8-years-051023004688
361,Business Analyst,Impact Analytics,1-3 Yrs,Bengaluru(Bellandur),"['Excel', 'Python', 'SQL', 'Statistics', 'Ml', 'Business analysis']",1 Day Ago,https://www.naukri.com/job-listings-business-analyst-impact-analytics-bengaluru-1-to-3-years-250124004072
